2022/06/10 0:47; 75; 83
2023/06/13 1:47; 72; 20
2023/06/13 2:47; 38; 10
2023/06/13 3:47; 59; 6
2023/06/14 4:47; 97; 93
2023/06/15 5:47; 55; 4
2023/06/16 6:47; 38; 23
2023/06/16 7:47; 52; 13
2023/06/16 8:47; 53; 86
2023/06/16 9:47; 0; 9
2023/06/16 10:47; 22; 5
2023/06/16 11:47; 75; 67
2023/06/16 12:47; 71; 69
2023/06/16 13:47; 41; 55
2023/06/16 14:47; 92; 42
2023/06/16 15:47; 69; 38
2023/06/16 16:47; 52; 95
2023/06/16 17:47; 4; 71
2023/06/16 18:47; 27; 70
2023/06/16 19:47; 25; 59
2023/06/17 0:47; 7; 73
2023/06/17 1:47; 26; 35
2023/06/17 2:47; 75; 100
